classifier_name	train_or_valid	lod	p_detection	lod_lcb	lod_ucb	specificity	n_obs	study
Allelic imbalance	train	0.007932	0.5	0.005645	0.011146	SnAtSp=0.98	296	CCGA1
Allelic imbalance	valid	0.007827	0.5	0.004465	0.013720	SnAtSp=0.98	113	CCGA1
Fragment endpoints	train	0.012046	0.5	0.008126	0.017856	SnAtSp=0.98	296	CCGA1
Fragment endpoints	valid	0.019371	0.5	0.009789	0.038332	SnAtSp=0.98	113	CCGA1
Fragment lengths	train	0.004095	0.5	0.002865	0.005854	SnAtSp=0.98	296	CCGA1
Fragment lengths	valid	0.003154	0.5	0.001835	0.005421	SnAtSp=0.98	113	CCGA1
Pan-feature	valid	0.000889	0.5	0.000585	0.001352	SnAtSp=0.98	113	CCGA1
SCNA	train	0.002665	0.5	0.001814	0.003916	SnAtSp=0.98	296	CCGA1
SCNA	valid	0.003947	0.5	0.002019	0.007718	SnAtSp=0.98	113	CCGA1
SCNA-WBC	train	0.001618	0.5	0.001144	0.002290	SnAtSp=0.98	296	CCGA1
SCNA-WBC	valid	0.002500	0.5	0.001425	0.004384	SnAtSp=0.98	113	CCGA1
SNV	train	0.018675	0.5	0.011991	0.029084	SnAtSp=0.98	296	CCGA1
SNV	valid	0.016343	0.5	0.008032	0.033251	SnAtSp=0.98	113	CCGA1
SNV-WBC	train	0.001257	0.5	0.000971	0.001628	SnAtSp=0.98	296	CCGA1
SNV-WBC	valid	0.001184	0.5	0.000746	0.001879	SnAtSp=0.98	113	CCGA1
WG methylation	train	0.000853	0.5	0.000652	0.001115	SnAtSp=0.98	296	CCGA1
WG methylation	valid	0.001241	0.5	0.000805	0.001913	SnAtSp=0.98	113	CCGA1
Targeted methylation (Second CCGA substudy)	valid	0.000131	0.5	0.000103	0.000166	SnAtSp=0.98	559	CCGA2
