participant_id	input_dna_concentration	input_dna_volumne	mass_dna	batch	reads_raw_total	coverage_raw_reads	reads_collapsed_total	reads_collapsed_duplex	reads_collapsed_non_duplex	coverage_collapsed_reads	fragments_total	coverage_fragments
ccga_100	12.44	6.03	75.0132	H7C7YCCXY	2223690542	108546.1	104250004	37997424	66016659	3714.671	52134060	3713.306
ccga_1000	13.34	5.62	74.9708	H5VNFCCXY	1775032048	94938.03	87189010	22336187	64690904	3229.035	43602818	3227.626
ccga_1005	13.47	5.57	75.0279	H73FYCCXY	2543532786	129804.7	108244702	38917356	69129850	3817.16	54134878	3815.782
ccga_1007	12.9	5.81	74.949	H77WCCCXY	2118148168	105951.9	125523076	38087408	87213549	4535.767	62774346	4534.069
ccga_1012	13.91	5.39	74.97489999999999	HKML5ALXX	2065314882	105913.1	111033106	35900582	74944196	3981.909	55530032	3980.071
ccga_1013	12.62	5.94	74.9628	H77CLCCXY	2086844584	103777.6	110819668	35277370	75332822	3972.421	55424048	3970.875
ccga_1014	11.87	6.32	75.0184	H3LKHCCXY	1698467370	86938.71	117736014	38840114	78644048	4276.325	58881487	4274.315
ccga_1015	15.31	4.9	75.019	HH3VTALXX	1879816632	96280.72	123445842	46814313	76335666	4353.228	61733843	4351.414
ccga_1019	20.87	3.59	74.9233	HKWMHALXX	1867033272	92579.61	90069458	30408600	59463998	3219.635	45044913	3218.267
ccga_102	10.58	7.09	75.012199999999993	H2CWNCCXY	2470976524	129203	109889012	27922737	81793775	3996.641	54955745	3995.032
ccga_1022	12.4	6.05	75.02	HL2NGALXX	2091483906	107639.2	103015994	29230470	73608298	3710.071	51517015	3708.441
ccga_1023	14.68	5.11	75.01480000000001	H2J7NCCXY	2469791132	129341.7	98345704	30968518	67218866	3513.749	49182316	3512.513
ccga_1031	13.6	5.51	74.93599999999999	H55FMCCXY	2049457880	105314.8	112192356	37574268	74303116	4049.586	56105477	4048.063
ccga_1032	12.85	5.84	75.044	H2J57CCXY	1850073444	94071.61	118541470	40233482	78049735	4186.739	59282765	4184.69
ccga_1033	15.04	4.99	75.0496	H3TNMCCXY	2047856164	97954.16	119915486	34013791	85693002	4418.367	59968535	4416.701
ccga_1034	14.91	5.03	74.99730000000001	H2J3FCCXY	2023898352	101108.5	105543658	33997455	71359340	3803.948	52784739	3802.518
ccga_1037	13.3	5.64	75.012	HKWMLALXX	1862327310	90433.46	110959210	39183111	71486201	4014.469	55491147	4012.744
ccga_1039	18.63	4.03	75.0789	H225LCCXY	2494659498	125043.4	103994454	37776390	65976988	3709.41	52006300	3707.905
