participant_id	batch	counts_total	counts_dedup	counts_mapq60	mean_coverage	median_coverage	stdev_coverage
ccga_100	H737KCCXY	1246644636	952833564	792381561	40.6451	45	29.961
ccga_1000	H223NCCXY	851787303	718512904	615709523	31.185	35	22.8318
ccga_1005	H3MJ7CCXY	895502890	767056865	627472924	32.2209	36	22.8892
ccga_1007	H73TTCCXY	1309363489	1013563658	832982692	43.2386	47	31.4872
ccga_1012	HHWJLALXX	959879797	787332068	641640954	32.2133	35	26.8592
ccga_1013	HFYFNCCXY	1183626623	882119884	731175513	37.9167	43	28.2743
ccga_1014	HKT2WALXX	761124310	622017722	502427093	25.1414	26	22.6847
ccga_1015	HK2G5ALXX	1038404420	827381872	689540888	36.4948	40	27.2495
ccga_1019	HHVWWALXX	1008980147	828359560	696858415	34.5481	37	28.0647
ccga_102	H3NKLCCXY	1207045669	924198792	747645836	38.7885	45	27.1438
ccga_1022	HHHMVALXX	898928558	727705356	618032931	32.0938	36	22.7316
ccga_1023	H23TNCCXY	1151011374	940911731	792114636	40.1836	43	29.7592
ccga_1031	HLC3MALXX	432667907	379549287	315223651	15.7121	16	14.5015
ccga_1032	HK27MALXX	984450907	742792629	610603090	32.1997	37	24.1852
ccga_1033	HLC2NALXX	1014786049	868784027	743496155	38.8942	41	29.8034
ccga_1034	HHHMVALXX	926286383	750363709	634430348	33.5833	38	23.4449
ccga_1037	HHFJWALXX	963371750	764630765	599352360	29.5017	31	24.8136
ccga_1039	HJK23ALXX	880830360	740039283	631157711	33.2531	38	23.0846
ccga_104	H223NCCXY	893911316	752819175	638837928	32.3529	35	24.6627
ccga_1041	HKNNVALXX	1670085779	1367588027	1188064399	58.8466	65	41.4581
ccga_1046	H55MTCCXY	991622895	830594143	689900265	34.934	37	28.6799
ccga_1049	H3YNCCCXY	1388527474	1176338679	990154725	48.8085	52	36.5813
ccga_105	HKTWHALXX	1220322092	909016446	756597962	40.3355	46	29.73
ccga_1053	HFY3FCCXY	842329978	715565337	602432990	29.1758	30	24.322
ccga_1055	HCT3MCCXY	1256514484	916552982	764495253	38.8621	43	26.5626
