participant_id	batch	counts_total	counts_dedup	counts_mapq60	mean_coverage	median_coverage	stdev_coverage
ccga_100	H73F7CCXY	951163245	803878122	659135957	36.0479	40	36.8396
ccga_1000	H7FCJCCXY	960832167	794008315	646534510	35.5995	40	35.3954
ccga_1005	H3YL3CCXY	1215077333	962055020	757561498	42.6282	49	34.355
ccga_1007	H5W5MCCXY	937109580	778651933	636764028	34.3526	37	35.0537
ccga_1012	HL2VFALXX	975450251	848301348	684083391	37.5239	42	43.0582
ccga_1013	H77KGCCXY	921435589	752322672	609023294	32.7564	36	36.8431
ccga_1014	HL5Y3ALXX	874729773	749745822	607189352	33.04	36	38.1536
ccga_1015	HL32CALXX	879305980	789411929	630226938	34.4089	39	31.8957
ccga_1019	HKW27ALXX	936401507	766348581	589317152	32.9909	37	39.5429
ccga_102	H2F5GCCXY	1190659975	962788326	779317589	41.4652	46	38.3444
ccga_1022	HLC77ALXX	969902200	773325970	622477955	33.758	38	31.1862
ccga_1023	H55NFCCXY	1221417443	1015057737	818566452	44.1785	50	36.9258
ccga_1031	H3Y7MCCXY	875859154	698799024	564907282	31.7954	36	30.2145
ccga_1032	H2J2FCCXY	826316644	724011611	574531135	29.9835	32	37.8155
ccga_1033	H3T2GCCXY	977264921	819576451	650388257	35.552	40	36.1929
ccga_1034	HHMCJALXX	863921157	731419066	578510414	31.0653	34	30.8058
ccga_1037	HKWGWALXX	924320437	793749760	637677923	36.0433	40	38.4278
ccga_1039	HL5MWALXX	1218271716	995510136	828034087	48.516	56	37.8606
ccga_104	H7FCJCCXY	1003406104	832965182	670088937	36.1871	40	34.8189
ccga_1041	HL5YCALXX	903219608	769379482	620550076	33.6817	37	35.5613
ccga_1046	H55FWCCXY	1210938808	947168970	761802456	42.1249	48	42.3218
ccga_1049	H73JWCCXY	885522601	746850099	613785032	33.7043	38	36.848
ccga_105	H23V2CCXY	1250179638	854547811	687599592	38.4097	44	38.3379
ccga_1053	HCMMTCCXY	891697795	746447684	603965245	33.1166	37	32.218
ccga_1055	HFWWCCCXY	889867866	760076936	627087818	33.9509	38	30.0497
ccga_1057	H3WT5CCXY	1369359413	1045245034	849972030	45.6026	52	39.1064
ccga_1058	HLC5VALXX	1329410579	956958049	771453534	42.6282	48	37.2248
ccga_1059	HCLFLCCXY	1336923903	992767205	815774509	46.1712	53	42.4464
ccga_1062	H5W3CCCXY	963084702	757877330	611405110	31.9982	36	28.3864
ccga_1065	HH7M3ALXX	935936344	728852815	581110288	31.9175	36	31.5669
ccga_1066	H73CGCCXY	984128383	833280150	674256189	36.3624	40	35.0087
ccga_1068	HL2GMALXX	869517520	724613535	588385388	33.2273	37	31.906
ccga_107	H3T25CCXY	1197721878	890544200	713432272	39.1033	45	36.5475
ccga_1073	H3WT5CCXY	1231590173	955060280	778952014	43.9016	50	34.6001
ccga_1075	HCNWJCCXY	960795132	825490727	683574040	36.3473	41	31.8523
ccga_1078	H3HVFCCXY	905805435	732721152	579806767	31.0455	34	32.9672
ccga_1079	H22Y5CCXY	869739412	723523587	569076450	30.5059	32	34.1041
ccga_1082	H73NNCCXY	1213687069	866727133	709757616	38.8221	44	35.9458
ccga_1083	HCLTTCCXY	906743032	752255890	574014097	31.3879	35	31.2147
